Brand,Model,Segment,Seats,Range(km),Efficiency(Wh/km),Weight(kg),0-100(sec),1-Stop Range(km),Battery(kWh),Fastcharge(kW),Towing(kg),Cargo Volume(L),Price/range(/km),Price($)
Zeekr,7X Premium RWD,D,5,375 km,189 Wh/km,2395 kg,6.0 sec,484 km,71.0 kWh,240 kW,2000 kg,605 L,€144 /km,"€53,990"
Opel,Grandland Electric 97 kWh,C,5,490 km,198 Wh/km,2255 kg,8.8 sec,498 km,96.9 kWh,130 kW,1150 kg,550 L,€104 /km,"€51,750"
Subaru,Solterra AWD,C,5,320 km,200 Wh/km,2085 kg,6.9 sec,347 km,64.0 kWh,100 kW,750 kg,441 L,€175 /km,"€57,490"
Peugeot,e-2008,B,5,270 km,171 Wh/km,1623 kg,8.5 sec,294 km,46.3 kWh,78 kW,0 kg,434 L,€146 /km,"€37,900"
XPENG,G6 AWD Performance (MY24),D,5,475 km,184 Wh/km,2195 kg,4.1 sec,565 km,87.5 kWh,180 kW,1500 kg,571 L,€111 /km,"€51,600"
Changan,Deepal S05 4WD Max,C,5,365 km,186 Wh/km,2115 kg,5.5 sec,428 km,68.0 kWh,130 kW,1600 kg,651 L,€123 /km,"€44,990"
Volkswagen,ID.7 Tourer Pro (MY24-25),E,5,470 km,164 Wh/km,2191 kg,6.6 sec,535 km,77.0 kWh,125 kW,1000 kg,605 L,€117 /km,"€54,795"
Audi,Q4 e-tron 50 quattro,C,5,385 km,199 Wh/km,2210 kg,6.2 sec,418 km,76.6 kWh,115 kW,1200 kg,520 L,€168 /km,"€57,900"
Dacia,Spring Electric 65,A,4,160 km,156 Wh/km,1032 kg,13.7 sec,149 km,25.0 kWh,29 kW,0 kg,343 L,€119 /km,"€18,900"
Peugeot,e-308 (MY23-25),C,5,300 km,169 Wh/km,1759 kg,9.8 sec,324 km,50.8 kWh,80 kW,0 kg,412 L,€137 /km,"€42,435"
Volvo,EX40 Single Motor ER (MY26),C,5,400 km,198 Wh/km,2075 kg,7.3 sec,441 km,79.0 kWh,125 kW,1500 kg,441 L,€133 /km,"€55,490"
Škoda,Enyaq iV 80x (MY21-23),C,5,425 km,181 Wh/km,2193 kg,6.9 sec,467 km,77.0 kWh,115 kW,1200 kg,585 L,€126 /km,"€49,050"
Volkswagen,ID.3 1st,C,5,350 km,166 Wh/km,1794 kg,7.3 sec,375 km,58.0 kWh,82 kW,0 kg,385 L,€113 /km,"€38,987"
Volkswagen,ID.5 Pro (MY24-25),C,5,460 km,167 Wh/km,2130 kg,6.7 sec,508 km,77.0 kWh,120 kW,1000 kg,549 L,€117 /km,"€48,970"
BMW,i3 60 Ah,B,4,115 km,163 Wh/km,1270 kg,7.2 sec,133 km,18.8 kWh,41 kW,unknown,260 L,€297 /km,"€34,950"
BMW,iX3 (MY21),D,5,385 km,192 Wh/km,2260 kg,6.8 sec,411 km,74.0 kWh,104 kW,750 kg,510 L,€175 /km,"€67,300"
MG,MG5 Electric Standard Range,C,5,265 km,174 Wh/km,1637 kg,7.7 sec,276 km,46.0 kWh,60 kW,500 kg,479 L,€139 /km,"€35,490"
Maxus,MIFA 9,N,7,360 km,233 Wh/km,2485 kg,9.2 sec,340 km,84.0 kWh,103 kW,1000 kg,521 L,€200 /km,"€68,990"
MG,Cyberster GT,S,2,395 km,188 Wh/km,2060 kg,3.2 sec,409 km,74.4 kWh,85 kW,unknown,249 L,€176 /km,"€69,990"
Alpine,A390 GTS,D,5,470 km,189 Wh/km,2196 kg,3.9 sec,516 km,89.0 kWh,140 kW,1350 kg,532 L,€168 /km,"* €77,000"
Hyundai,IONIQ 5 Long Range AWD (MY21),C,5,365 km,192 Wh/km,2095 kg,5.2 sec,452 km,70.0 kWh,185 kW,1600 kg,555 L,€143 /km,"€49,900"
Volkswagen,ID.4 Pro,C,5,410 km,188 Wh/km,2123 kg,10.4 sec,436 km,77.0 kWh,125 kW,1000 kg,543 L,€126 /km,"€51,990"
Volkswagen,e-Up!,A,4,205 km,158 Wh/km,1235 kg,11.9 sec,188 km,32.3 kWh,30 kW,0 kg,250 L,€118 /km,"€21,421"
Leapmotor,C10 RWD 69.9 kWh,D,5,355 km,197 Wh/km,2055 kg,7.5 sec,329 km,69.9 kWh,70 kW,1500 kg,435 L,€107 /km,"€37,600"
Porsche,Taycan 4S,F,5,395 km,180 Wh/km,2215 kg,4.0 sec,507 km,71.0 kWh,183 kW,0 kg,491 L,€272 /km,"€108,867"
Lotus,Eletre,F,5,495 km,220 Wh/km,2565 kg,4.5 sec,604 km,109.0 kWh,259 kW,2250 kg,657 L,€202 /km,"€96,990"
XPENG,G9 AWD Performance (MY24),E,5,465 km,200 Wh/km,2415 kg,3.9 sec,577 km,93.1 kWh,224 kW,1500 kg,731 L,€156 /km,"€71,600"
Toyota,bZ4X AWD 73.1 kWh (MY25),C,5,375 km,184 Wh/km,2120 kg,5.1 sec,413 km,69.0 kWh,110 kW,1500 kg,452 L,€141 /km,"€50,990"
MG,MG4 Electric XPOWER,C,5,320 km,193 Wh/km,1878 kg,3.8 sec,361 km,61.7 kWh,115 kW,500 kg,363 L,€137 /km,"€46,990"
Mazda,MX-30,C,5,170 km,176 Wh/km,1720 kg,9.7 sec,159 km,30.0 kWh,34 kW,0 kg,366 L,€198 /km,"€34,490"
BYD,TANG,E,7,355 km,243 Wh/km,2705 kg,4.6 sec,342 km,86.4 kWh,109 kW,1500 kg,235 L,€199 /km,"€71,400"
Škoda,Enyaq Coupe 85 (MY25),C,5,470 km,164 Wh/km,2140 kg,6.7 sec,493 km,77.0 kWh,120 kW,1000 kg,570 L,€107 /km,"€51,150"
XPENG,G9 AWD Performance (MY25),E,5,465 km,198 Wh/km,2470 kg,4.2 sec,600 km,92.2 kWh,330 kW,1500 kg,731 L,€160 /km,"€72,600"
GWM,ORA 03 48 kWh,C,5,260 km,175 Wh/km,1615 kg,8.3 sec,247 km,45.4 kWh,45 kW,0 kg,228 L,€123 /km,"€26,990"
NIO,EL8 Long Range,F,6,440 km,205 Wh/km,2633 kg,4.1 sec,524 km,90.0 kWh,190 kW,2000 kg,265 L,€232 /km,"€103,900"
BMW,i3s 120 Ah,B,4,230 km,165 Wh/km,1365 kg,6.9 sec,214 km,37.9 kWh,47 kW,0 kg,260 L,€183 /km,"€42,600"
Mercedes-Benz,EQS 450+,F,5,635 km,170 Wh/km,2480 kg,6.2 sec,703 km,107.8 kWh,173 kW,750 kg,610 L,€179 /km,"€109,551"
BMW,iX M60,E,5,485 km,217 Wh/km,2659 kg,3.8 sec,515 km,105.2 kWh,149 kW,2500 kg,500 L,€285 /km,"€136,100"
Volvo,EX90 Twin Motor Performance (MY24-25),F,7,485 km,221 Wh/km,2762 kg,4.9 sec,523 km,107.0 kWh,150 kW,2200 kg,703 L,€213 /km,"€96,800"
Volvo,EX40 Single Motor (MY25),C,5,345 km,194 Wh/km,2040 kg,7.3 sec,383 km,67.0 kWh,110 kW,1500 kg,441 L,€144 /km,"€49,990"
Citroën,ë-C4,C,5,285 km,162 Wh/km,1646 kg,9.9 sec,310 km,46.3 kWh,78 kW,0 kg,380 L,€114 /km,"€31,900"
Mercedes-Benz,EQE SUV 350+ (MY23-24),E,5,475 km,202 Wh/km,2490 kg,6.9 sec,503 km,96.0 kWh,141 kW,750 kg,520 L,€186 /km,"€86,811"
Audi,A6 Avant e-tron,E,5,465 km,163 Wh/km,2185 kg,6.0 sec,560 km,75.8 kWh,150 kW,2100 kg,529 L,€146 /km,"€64,450"
Volkswagen,ID.3 Pro Performance,C,5,350 km,166 Wh/km,1812 kg,7.3 sec,375 km,58.0 kWh,82 kW,0 kg,385 L,€129 /km,"€43,995"
Ford,Capri Extended Range AWD,D,5,455 km,174 Wh/km,2175 kg,5.3 sec,517 km,79.0 kWh,135 kW,1200 kg,572 L,€128 /km,"€54,831"
Hyundai,IONIQ 9 Long Range RWD,F,7,500 km,212 Wh/km,2612 kg,9.4 sec,567 km,106.0 kWh,195 kW,1600 kg,426 L,€141 /km,"€68,500"
Renault,Kangoo Maxi ZE 33,N,5,160 km,194 Wh/km,1630 kg,22.4 sec,115 km,31.0 kWh,0 kW,0 kg,1300 L,€236 /km,"€38,000"
Volvo,EX40 Single Motor ER (MY25),C,5,400 km,198 Wh/km,2075 kg,7.3 sec,441 km,79.0 kWh,125 kW,1500 kg,441 L,€135 /km,"€55,490"
Mercedes-Benz,B 250e,C,5,150 km,187 Wh/km,1725 kg,7.9 sec,106 km,28.0 kWh,0 kW,unknown,501 L,€256 /km,"€39,151"
Škoda,Enyaq 85x (MY24),C,5,440 km,175 Wh/km,2213 kg,6.6 sec,485 km,77.0 kWh,120 kW,1200 kg,585 L,€122 /km,"€51,150"
Polestar,2 Long Range Dual Motor (MY24),D,5,450 km,176 Wh/km,2183 kg,4.5 sec,507 km,79.0 kWh,125 kW,1500 kg,446 L,€125 /km,"€52,275"
Suzuki,e VITARA 61 kWh 2WD,B,5,330 km,181 Wh/km,1835 kg,8.7 sec,307 km,59.8 kWh,60 kW,750 kg,238 L,€111 /km,"€35,295"
Tesla,Model X Long Range Plus,F,7,480 km,204 Wh/km,2505 kg,4.6 sec,529 km,98.0 kWh,125 kW,2250 kg,unknown,€199 /km,"€90,990"
Audi,Q4 e-tron 55 quattro,C,5,395 km,195 Wh/km,2235 kg,5.4 sec,437 km,77.0 kWh,120 kW,1200 kg,520 L,€160 /km,"€59,000"
Audi,A6 Sportback e-tron,E,5,485 km,156 Wh/km,2175 kg,6.0 sec,587 km,75.8 kWh,150 kW,2100 kg,529 L,€137 /km,"€62,800"
Zeekr,X Long Range RWD,B,5,360 km,181 Wh/km,1930 kg,5.6 sec,401 km,65.0 kWh,114 kW,1600 kg,362 L,€121 /km,"€43,490"
Volkswagen,ID.3 Pro,C,5,350 km,166 Wh/km,1805 kg,9.6 sec,378 km,58.0 kWh,82 kW,0 kg,385 L,€100 /km,"€34,995"
Seres,3,C,5,260 km,196 Wh/km,1765 kg,8.9 sec,232 km,51.0 kWh,50 kW,0 kg,318 L,€146 /km,"€37,995"
Mercedes-Benz,EQV 300 Long,N,7,320 km,281 Wh/km,2625 kg,12.1 sec,297 km,90.0 kWh,96 kW,0 kg,1030 L,€267 /km,"€62,010"
Dongfeng,Box 31.4 kWh,B,5,190 km,153 Wh/km,1251 kg,12.5 sec,205 km,29.0 kWh,50 kW,unknown,326 L,€124 /km,"€23,499"
Peugeot,e-208 54 kWh (MY25),B,5,335 km,152 Wh/km,1530 kg,8.2 sec,359 km,50.8 kWh,85 kW,0 kg,309 L,€105 /km,"€37,525"
Nissan,LEAF e+ 62 kWh (MY23-25),C,5,340 km,174 Wh/km,1756 kg,6.9 sec,291 km,59.0 kWh,44 kW,0 kg,420 L,€121 /km,"€41,100"
Peugeot,e-208 50 kWh (MY24),B,5,295 km,157 Wh/km,1530 kg,9.0 sec,321 km,46.3 kWh,78 kW,0 kg,309 L,€124 /km,"€35,975"
Tesla,Model S P85D,F,5,390 km,207 Wh/km,2262 kg,3.3 sec,393 km,80.8 kWh,95 kW,unknown,895 L,€300 /km,"€115,000"
Alfa,Romeo Junior Elettrica 54 kWh,B,5,320 km,159 Wh/km,1620 kg,9.0 sec,341 km,50.8 kWh,85 kW,0 kg,400 L,€122 /km,"€39,500"
Citroën,ë-C4 X,C,5,285 km,162 Wh/km,1659 kg,9.7 sec,318 km,46.3 kWh,78 kW,0 kg,510 L,€129 /km,"€35,275"
Volkswagen,ID. Buzz NWB Pro,N,6,370 km,214 Wh/km,2492 kg,7.6 sec,405 km,79.0 kWh,135 kW,1200 kg,1121 L,€165 /km,"€60,892"
Citroën,C5 Aircross Comfort Range,C,5,375 km,197 Wh/km,2184 kg,8.9 sec,389 km,73.7 kWh,90 kW,1250 kg,565 L,€104 /km,"€42,590"
Mercedes-Benz,EQE 350+ (MY22-23),E,5,525 km,173 Wh/km,2355 kg,6.4 sec,572 km,90.6 kWh,141 kW,750 kg,430 L,€153 /km,"€70,626"
Kia,EV9 99.8 kWh RWD,F,7,450 km,213 Wh/km,2501 kg,9.4 sec,502 km,96.0 kWh,194 kW,900 kg,423 L,€155 /km,"€64,990"
Ford,Explorer Standard Range RWD,C,5,305 km,170 Wh/km,1908 kg,8.7 sec,338 km,52.0 kWh,85 kW,1000 kg,536 L,€141 /km,"€42,500"
Mercedes-Benz,EQS AMG 53 4MATIC+,F,5,585 km,202 Wh/km,2700 kg,3.4 sec,619 km,118.0 kWh,160 kW,1700 kg,620 L,€294 /km,"€155,009"
Mini,Countryman SE ALL4,C,5,365 km,177 Wh/km,2075 kg,5.6 sec,389 km,64.6 kWh,93 kW,1200 kg,460 L,€138 /km,"€49,500"
Hyundai,IONIQ 9 Performance AWD,F,7,485 km,219 Wh/km,2689 kg,5.2 sec,550 km,106.0 kWh,195 kW,2500 kg,390 L,€177 /km,"€86,750"
Nissan,Ariya 63kWh,C,5,335 km,188 Wh/km,1980 kg,7.5 sec,351 km,63.0 kWh,90 kW,750 kg,468 L,€127 /km,"€47,490"
NIO,EL6 Long Range,E,5,435 km,207 Wh/km,2398 kg,4.5 sec,471 km,90.0 kWh,135 kW,1200 kg,579 L,€174 /km,"€74,500"
Mini,Cooper SE,B,4,180 km,161 Wh/km,1440 kg,7.3 sec,183 km,28.9 kWh,44 kW,0 kg,211 L,€179 /km,"€32,500"
Polestar,2 Long Range Single Motor (MY24),D,5,470 km,168 Wh/km,2084 kg,6.2 sec,530 km,79.0 kWh,125 kW,1500 kg,446 L,€112 /km,"€49,975"
Mitsubishi,Eclipse Cross 87 kWh (MY26),C,5,480 km,181 Wh/km,1901 kg,7.9 sec,479 km,87.0 kWh,95 kW,1100 kg,545 L,€95 /km,"€45,690"
Kia,EV6 GT,C,5,395 km,203 Wh/km,2220 kg,3.5 sec,488 km,80.0 kWh,205 kW,1800 kg,500 L,€175 /km,"€69,990"
Toyota,Urban Cruiser 61.1 kWh AWD,B,5,310 km,193 Wh/km,1935 kg,7.4 sec,286 km,59.8 kWh,60 kW,750 kg,238 L,€130 /km,"€40,990"
Opel,Corsa Electric 54 kWh (MY25),B,5,335 km,152 Wh/km,1544 kg,8.1 sec,357 km,50.8 kWh,85 kW,0 kg,267 L,€93 /km,"€31,490"
Audi,e-tron GT RS,F,4,405 km,210 Wh/km,2420 kg,3.3 sec,511 km,85.0 kWh,216 kW,0 kg,451 L,€361 /km,"€146,050"
Renault,Kangoo E-Tech Electric,N,5,225 km,200 Wh/km,1871 kg,12.6 sec,221 km,45.0 kWh,50 kW,1500 kg,950 L,€159 /km,"€35,850"
Ford,e-Tourneo Courier,N,5,200 km,218 Wh/km,1724 kg,11.0 sec,216 km,43.6 kWh,80 kW,750 kg,unknown,€176 /km,"€35,999"
Tesla,Model X 90D,F,7,395 km,216 Wh/km,2464 kg,5.0 sec,387 km,85.5 kWh,90 kW,unknown,unknown,€287 /km,"€113,300"
Volkswagen,ID.4 1st,C,5,410 km,188 Wh/km,2124 kg,8.5 sec,436 km,77.0 kWh,125 kW,1000 kg,543 L,€116 /km,"€48,691"
Škoda,Enyaq 60 (MY25),C,5,360 km,164 Wh/km,2002 kg,8.1 sec,416 km,59.0 kWh,110 kW,1000 kg,585 L,€121 /km,"€44,400"
BMW,i3 94 Ah,B,4,165 km,165 Wh/km,1320 kg,7.3 sec,170 km,27.2 kWh,46 kW,0 kg,260 L,€226 /km,"€37,550"
Volkswagen,ID.4 Pure,C,5,285 km,182 Wh/km,1966 kg,10.9 sec,301 km,52.0 kWh,70 kW,1000 kg,543 L,€146 /km,"€36,950"
Kia,Soul EV,B,5,170 km,176 Wh/km,1580 kg,11.2 sec,172 km,30.0 kWh,40 kW,0 kg,281 L,€190 /km,"€29,490"
Lucid,Air Grand Touring (MY23-24),F,5,665 km,168 Wh/km,2435 kg,3.0 sec,763 km,112.0 kWh,184 kW,0 kg,910 L,€196 /km,"€129,000"
Volvo,XC40 Recharge Twin Motor (MY24),C,5,385 km,205 Wh/km,2170 kg,4.8 sec,419 km,79.0 kWh,125 kW,1800 kg,441 L,€155 /km,"€59,950"
Nissan,LEAF 30 kWh (MY15-17),C,5,170 km,165 Wh/km,1538 kg,11.5 sec,173 km,28.0 kWh,45 kW,unknown,370 L,€191 /km,"€33,960"
Cadillac,LYRIQ 600 E4 (MY24),E,5,460 km,222 Wh/km,2774 kg,5.3 sec,492 km,102.0 kWh,165 kW,1587 kg,793 L,€180 /km,"€83,000"
Abarth,500e Hatchback,B,4,225 km,168 Wh/km,1410 kg,7.0 sec,251 km,37.8 kWh,67 kW,0 kg,185 L,€169 /km,"€37,990"
Mercedes-Benz,EQS 450 4MATIC,F,5,655 km,180 Wh/km,2655 kg,5.7 sec,704 km,118.0 kWh,160 kW,1700 kg,620 L,€176 /km,"€113,359"
Mercedes-Benz,CLA Shooting Brake 250+,D,5,565 km,150 Wh/km,2075 kg,6.8 sec,738 km,85.0 kWh,235 kW,1500 kg,556 L,€99 /km,"€57,096"
Volkswagen,ID.7 Pro S (MY24-25),E,5,525 km,164 Wh/km,2226 kg,6.6 sec,600 km,86.0 kWh,145 kW,1000 kg,532 L,€114 /km,"€58,985"
Audi,e-tron GT RS performance,F,4,525 km,185 Wh/km,2395 kg,2.5 sec,693 km,97.0 kWh,281 kW,0 kg,427 L,€311 /km,"€160,500"
Toyota,bZ4X FWD 73.1 kWh (MY25),C,5,385 km,179 Wh/km,2025 kg,7.4 sec,423 km,69.0 kWh,110 kW,750 kg,452 L,€127 /km,"€47,990"
Audi,e-tron 55 quattro,E,5,365 km,237 Wh/km,2565 kg,5.7 sec,384 km,86.5 kWh,146 kW,1800 kg,660 L,€222 /km,"€80,900"
Kia,EV9 99.8 kWh AWD GT-Line,F,7,425 km,226 Wh/km,2648 kg,5.3 sec,471 km,96.0 kWh,194 kW,2500 kg,385 L,€193 /km,"€82,380"
Volvo,ES90 Twin Motor (MY26),F,5,530 km,192 Wh/km,2628 kg,5.5 sec,635 km,102.0 kWh,200 kW,2000 kg,468 L,€170 /km,"€88,990"
Smart,#3 Premium,B,5,355 km,175 Wh/km,1885 kg,5.8 sec,394 km,62.0 kWh,110 kW,1600 kg,385 L,€128 /km,"€46,490"
BMW,i4 eDrive35,D,5,435 km,154 Wh/km,2070 kg,6.0 sec,493 km,67.1 kWh,95 kW,1600 kg,470 L,€136 /km,"€57,600"
Renault,Megane E-Tech EV40 130hp,C,5,260 km,154 Wh/km,1588 kg,10.0 sec,277 km,40.0 kWh,55 kW,500 kg,440 L,€151 /km,"€42,000"
Mercedes-Benz,EQS SUV Maybach 680,F,4,490 km,241 Wh/km,3075 kg,4.4 sec,507 km,118.0 kWh,160 kW,1800 kg,440 L,€441 /km,"€200,634"
Ford,Mustang Mach-E ER RWD (MY21),D,5,465 km,189 Wh/km,2160 kg,7.0 sec,436 km,88.0 kWh,86 kW,750 kg,619 L,€120 /km,"€54,475"
Jaguar,I-Pace EV400,D,5,380 km,223 Wh/km,2208 kg,4.8 sec,360 km,84.7 kWh,85 kW,750 kg,505 L,€207 /km,"€76,815"
DS,Automobiles N°8 FWD Long Range,D,5,545 km,178 Wh/km,2255 kg,7.8 sec,566 km,97.2 kWh,130 kW,1200 kg,620 L,€115 /km,"€63,200"
Volkswagen,e-Golf,C,5,125 km,164 Wh/km,1585 kg,10.4 sec,133 km,20.5 kWh,41 kW,unknown,380 L,€270 /km,"€34,900"
Mini,Cooper E,B,4,250 km,146 Wh/km,1615 kg,7.3 sec,267 km,36.6 kWh,60 kW,0 kg,200 L,€138 /km,"€32,900"
Tesla,Model X P100D,F,7,420 km,226 Wh/km,2572 kg,3.1 sec,413 km,95.0 kWh,100 kW,2250 kg,unknown,€374 /km,"€156,900"
Tesla,Model S Performance,F,5,515 km,184 Wh/km,2307 kg,2.8 sec,546 km,95.0 kWh,110 kW,0 kg,894 L,€193 /km,"€96,990"
MG,MGS5 EV 49 kWh,C,5,275 km,171 Wh/km,1710 kg,8.0 sec,309 km,47.1 kWh,80 kW,750 kg,453 L,€127 /km,"€37,990"
Zeekr,X Privilege AWD,B,5,350 km,186 Wh/km,2035 kg,3.8 sec,394 km,65.0 kWh,114 kW,1600 kg,362 L,€139 /km,"€48,490"
Mercedes-Benz,EQS 580 4MATIC,F,5,590 km,184 Wh/km,2635 kg,4.3 sec,654 km,108.4 kWh,173 kW,750 kg,620 L,€267 /km,"€141,705"
Opel,Ampera-e,B,5,335 km,173 Wh/km,1691 kg,7.3 sec,286 km,58.0 kWh,39 kW,0 kg,381 L,€115 /km,"€42,990"
Mini,Aceman SE,B,5,290 km,170 Wh/km,1785 kg,7.1 sec,308 km,49.2 kWh,75 kW,750 kg,300 L,€141 /km,"€39,550"
Škoda,Elroq RS (MY26),C,5,455 km,174 Wh/km,2190 kg,5.4 sec,510 km,79.0 kWh,135 kW,1800 kg,470 L,€117 /km,"€53,050"
Volkswagen,ID.3 Pure Performance,C,5,275 km,164 Wh/km,1772 kg,8.9 sec,252 km,45.0 kWh,45 kW,0 kg,385 L,€116 /km,"€31,960"
NIO,ET7 Standard Range,F,5,415 km,177 Wh/km,2434 kg,3.8 sec,456 km,73.5 kWh,110 kW,2000 kg,363 L,€201 /km,"€81,900"
Volkswagen,ID.4 GTX (MY24-25),C,5,420 km,183 Wh/km,2256 kg,5.4 sec,460 km,77.0 kWh,120 kW,1200 kg,543 L,€139 /km,"€53,255"
Peugeot,e-2008 50 kWh,B,5,270 km,171 Wh/km,1623 kg,9.9 sec,294 km,46.3 kWh,78 kW,0 kg,434 L,€142 /km,"€39,000"
Volkswagen,ID. Buzz LWB GTX,N,7,380 km,226 Wh/km,2758 kg,6.5 sec,425 km,86.0 kWh,145 kW,1600 kg,1340 L,€196 /km,"€74,928"
Porsche,Taycan Turbo S,F,5,400 km,209 Wh/km,2370 kg,2.8 sec,504 km,83.7 kWh,216 kW,0 kg,450 L,€459 /km,"€189,668"
Škoda,Elroq 85x (MY26),C,5,445 km,173 Wh/km,2141 kg,6.6 sec,493 km,77.0 kWh,120 kW,1800 kg,470 L,€104 /km,"€46,450"
Volvo,C40 Recharge Twin Motor (MY24),C,5,400 km,198 Wh/km,2185 kg,4.7 sec,443 km,79.0 kWh,125 kW,1800 kg,450 L,€154 /km,"€61,400"
BMW,i7 eDrive50,F,5,520 km,196 Wh/km,2595 kg,5.5 sec,572 km,101.7 kWh,159 kW,0 kg,500 L,€227 /km,"€115,700"
Volkswagen,ID.4 GTX,C,5,400 km,193 Wh/km,2239 kg,6.3 sec,434 km,77.0 kWh,115 kW,1200 kg,543 L,€147 /km,"€53,255"
BMW,i7 M70 xDrive,F,5,490 km,208 Wh/km,2770 kg,3.7 sec,534 km,101.7 kWh,159 kW,0 kg,500 L,€381 /km,"€181,800"
Renault,Zoe Q210,B,5,140 km,166 Wh/km,1503 kg,13.5 sec,148 km,23.3 kWh,33 kW,unknown,338 L,€134 /km,"€20,990"
Polestar,2 Long Range Dual Motor (MY25),D,5,455 km,174 Wh/km,2183 kg,4.5 sec,514 km,79.0 kWh,125 kW,1500 kg,448 L,€127 /km,"€56,990"
Volvo,XC40 P8 AWD Recharge (MY21),C,5,335 km,224 Wh/km,2188 kg,4.9 sec,348 km,75.0 kWh,108 kW,1500 kg,450 L,€173 /km,"€60,437"
Mercedes-Benz,EQS 580 4MATIC,F,5,640 km,184 Wh/km,2655 kg,4.4 sec,682 km,118.0 kWh,160 kW,1700 kg,620 L,€245 /km,"€141,705"
Volvo,XC40 Recharge Single Motor ER (MY24),C,5,400 km,198 Wh/km,2075 kg,7.3 sec,441 km,79.0 kWh,125 kW,1500 kg,441 L,€131 /km,"€53,000"
Jaguar,I-Pace EV400,D,5,380 km,223 Wh/km,2208 kg,4.8 sec,360 km,84.7 kWh,85 kW,750 kg,505 L,€205 /km,"€77,300"
Audi,Q4 e-tron 35,C,5,285 km,182 Wh/km,1965 kg,9.0 sec,301 km,52.0 kWh,70 kW,0 kg,520 L,€173 /km,"€44,700"
XPENG,P7 Wing Edition,E,5,455 km,182 Wh/km,2255 kg,4.1 sec,514 km,82.7 kWh,138 kW,0 kg,440 L,€155 /km,"€69,600"
BMW,i5 eDrive40 Touring,E,5,455 km,178 Wh/km,2255 kg,6.1 sec,522 km,81.2 kWh,136 kW,1500 kg,570 L,€171 /km,"€72,200"
Toyota,Proace Verso L 75 kWh,N,9,265 km,260 Wh/km,2240 kg,13.3 sec,252 km,69.0 kWh,79 kW,1000 kg,989 L,€227 /km,"€65,840"
Tesla,Model S 75,F,5,380 km,191 Wh/km,2102 kg,4.6 sec,386 km,72.5 kWh,80 kW,unknown,895 L,€189 /km,"€69,970"
Lexus,UX 300e,C,5,340 km,188 Wh/km,1850 kg,7.5 sec,291 km,64.0 kWh,35 kW,0 kg,316 L,€135 /km,"£39,995"
BMW,i4 xDrive40,D,5,490 km,166 Wh/km,2260 kg,5.1 sec,558 km,81.3 kWh,131 kW,1600 kg,470 L,€132 /km,"€63,000"
Nissan,LEAF Standard Range 52 kWh (MY26),C,5,320 km,163 Wh/km,1889 kg,8.6 sec,343 km,52.0 kWh,70 kW,975 kg,437 L,€112 /km,"* €37,000"
Polestar,3 Long Range Dual motor (MY23-25),E,5,515 km,208 Wh/km,2654 kg,5.0 sec,555 km,107.0 kWh,150 kW,2200 kg,516 L,€168 /km,"€85,590"
Volkswagen,ID.7 Pro (MY26),E,5,475 km,162 Wh/km,2180 kg,6.5 sec,541 km,77.0 kWh,125 kW,1000 kg,532 L,€114 /km,"€54,105"
Hongqi,E-HS9 84 kWh,F,5,320 km,239 Wh/km,2580 kg,6.5 sec,334 km,76.5 kWh,112 kW,1500 kg,438 L,€219 /km,"€69,995"
BMW,i5 M60 xDrive Sedan,E,5,420 km,193 Wh/km,2380 kg,3.8 sec,479 km,81.2 kWh,136 kW,2000 kg,490 L,€255 /km,"€99,500"
Mercedes-Benz,EQE SUV 350 4MATIC (MY23-24),E,5,435 km,208 Wh/km,2560 kg,6.6 sec,468 km,90.6 kWh,141 kW,1800 kg,520 L,€215 /km,"€89,548"
BMW,i5 eDrive40 Sedan (MY25),E,5,480 km,169 Wh/km,2195 kg,6.0 sec,547 km,81.2 kWh,136 kW,1500 kg,490 L,€157 /km,"€70,200"
Lexus,UX 300e,C,5,235 km,191 Wh/km,1860 kg,7.5 sec,199 km,45.0 kWh,32 kW,0 kg,316 L,€198 /km,"€47,550"
Polestar,2 Long Range Single Motor (MY25),D,5,475 km,166 Wh/km,2084 kg,6.2 sec,533 km,79.0 kWh,125 kW,1500 kg,448 L,€112 /km,"€52,690"
Volkswagen,ID.7 Tourer GTX (MY26),E,5,500 km,172 Wh/km,2336 kg,5.5 sec,566 km,86.0 kWh,145 kW,1800 kg,605 L,€132 /km,"€64,065"
Mini,Aceman E,B,5,230 km,167 Wh/km,1720 kg,7.9 sec,243 km,38.5 kWh,60 kW,750 kg,300 L,€160 /km,"€34,900"
Porsche,Macan 4 Electric (MY26),D,5,470 km,202 Wh/km,2405 kg,5.2 sec,563 km,95.0 kWh,200 kW,2500 kg,624 L,€182 /km,"€84,600"
BMW,iX M70 xDrive,E,5,500 km,218 Wh/km,2655 kg,3.8 sec,524 km,108.9 kWh,150 kW,2500 kg,500 L,€258 /km,"€124,900"
Renault,Scenic E-Tech EV60 170hp (TU2025),C,5,340 km,176 Wh/km,1822 kg,8.6 sec,354 km,60.0 kWh,75 kW,1100 kg,545 L,€117 /km,"€40,400"
Ford,Mustang Mach-E ER AWD (MY22),D,5,440 km,207 Wh/km,2257 kg,5.8 sec,410 km,91.0 kWh,86 kW,1000 kg,619 L,€165 /km,"€69,700"
Fisker,Ocean One,D,5,530 km,201 Wh/km,2434 kg,3.9 sec,567 km,106.5 kWh,135 kW,1820 kg,476 L,€133 /km,"€69,950"
